id,override,price,link,availability
p7791-v9573-s,DE,440 EUR,https://www.morjas.com/product/women-the-slingback-ivory-nappa,in stock
p3671-v5426-s,DE,440 EUR,https://www.morjas.com/product/women-the-slingback-black-nappa,in stock
p3669-v5424-s,DE,440 EUR,https://www.morjas.com/product/women-the-slingback-taupe-suede,in stock
p7749-v9507-s,DE,470 EUR,https://www.morjas.com/product/women-the-city-boot-black-calf,in stock
p7750-v9508-s,DE,470 EUR,https://www.morjas.com/product/women-the-city-boot-brown-calf,in stock
p7793-v9575-s,DE,460 EUR,https://www.morjas.com/product/women-the-dorsay-pump-brown-nappa,in stock
p7792-v9574-s,DE,460 EUR,https://www.morjas.com/product/women-the-dorsay-pump-black-nappa,in stock
p7748-v9506-s,DE,730 EUR,https://www.morjas.com/product/women-the-riding-boot-black-calf,in stock
p7818-v9600-s,DE,350 EUR,https://www.morjas.com/product/women-the-sandalette-brown-nappa,in stock
p7819-v9601-s,DE,350 EUR,https://www.morjas.com/product/women-the-sandalette-black-nappa,in stock
p7817-v9599-s,DE,350 EUR,https://www.morjas.com/product/women-the-sandalette-ivory-nappa,in stock
p7816-v9598-s,DE,300 EUR,https://www.morjas.com/product/women-the-verona-sandal-black-nappa,in stock
p7815-v9597-s,DE,300 EUR,https://www.morjas.com/product/women-the-verona-sandal-brown-suede,in stock
p7721-v9476-s,DE,420 EUR,https://www.morjas.com/product/women-the-pump-black-nappa,in stock
p7719-v9474-s,DE,420 EUR,https://www.morjas.com/product/women-the-pump-brown-suede,in stock
p7720-v9475-s,DE,420 EUR,https://www.morjas.com/product/women-the-pump-caramel-nappa,in stock
p7794-v9576-s,DE,490 EUR,https://www.morjas.com/product/women-the-stiletto-boot-black-nappa,in stock
p7795-v9577-s,DE,490 EUR,https://www.morjas.com/product/women-the-stiletto-boot-truffle-suede,in stock
p7752-v9510-s,DE,20 EUR,https://www.morjas.com/product/women-the-sock-black,in stock
p7751-v9509-s,DE,20 EUR,https://www.morjas.com/product/women-the-sock-brown,in stock
p3954-v5709-s,DE,20 EUR,https://www.morjas.com/product/women-the-sock-off-white,in stock
p7740-v9495-s,DE,140 EUR,https://www.morjas.com/product/women-the-belt-black-nappa-20-mm,in stock
p7798-v9580-s,DE,140 EUR,https://www.morjas.com/product/women-the-belt-tan-grain-20-mm,in stock
p7797-v9579-s,DE,140 EUR,https://www.morjas.com/product/women-the-belt-ivory-nappa-20-mm,in stock
